docs|rating|timestamp
the staff are amazing , from dealing with them before our visit and during our stay both hotel staff and the lads on the golf course were fantastic.. they could not have been more professional or kind. the only complaint i have is that i was not aware that i was staying in a room not in the hotel itself. maybe it was my fault and didn't see that when booking . it was not in walking distance to hotel due to rain but the hotel staff were always on hand to collect us at any time .|4.5|2021-10-17 02:00:00
food was good could have been hotter. server,kim, was awesome. she was friendly. knew the menu and seemed to enjoy what she was doing|4.0|2021-12-05 14:41:00
traveling and our hotel recommended it since i love italian food! it was so good, we went back a second time. the portions are huge though, i couldn't even get through half mine after sharing a caesar.|5.0|2021-10-14 18:13:00
very good experience. staff were attentive and food was great.|5.0|2022-02-07 21:47:00
immaculate and relaxing room, comfy bed and bathroom tip top. shuttle bus not available but only a minute walk away from the airport bus so all good.|4.5|2021-12-22 01:00:00
the ambience is good and i think its a good dinner option for those who are visiting the hotel from out of town. the service was okay as the waiter was a little pushy. the food was okay but not for the price. would i recommended this place? yes if you are staying at the hotel. the bar tender was really nice and it has an outlet at the tables for to keep your phone or laptop charged for business or personal purposes|3.0|2021-10-31 09:48:00
loved the house and so near what ever your looking from a hoilday stayed in june 2021|5.0|2021-06-15 01:00:00
we went for saturday brunch. good food, but not great. huge servings!|4.0|2021-11-01 17:57:00
was told bar in hotel was open wen booked .. was nt told it was accross in sister hotel bed was comfy.. brekky was lovely stayed in march 2021|4.0|2021-03-17 00:00:00
the noise levels from outside was very disturbing. people arguing, sirens, car alarms etc. the location was good. stayed in december 2020|2.0|2021-01-10 00:00:00
excellent menu. food quality was superb and portion sizes enormous|4.0|2021-08-26 14:51:00
felt food menu limited for breakfast and pricey..atmosphere is good|2.0|2021-05-29 17:15:00
our food and drinks we're both high-quality and the service was outstanding|4.0|2021-10-04 16:25:00
"all the atmosphere of a wake
expensive and impersonal
drinks came after food
we werent offered dessert menus
staff didnt make any effort to make us feel welcome
staff avoided eye contact when we were trying to pay??
would not recommend if youre looking for a warm, friendly place"|1.0|2022-02-17 16:33:00
fantastic roast beef on a wet sunday. great efficient service and very welcoming of dogs in the bar area. will definitely be returning!|4.0|2022-01-03 14:44:00
we had out of town guests with us. as usual, a great experience!|5.0|2022-03-17 19:11:00
the breakfast was really lovely lots of variety and plentiful sockets in the room was a big problem for us only 2 sockets and one of them was behind the tv and we had a tripple room so this was a big problem with charging phones and using hairdryers etc|4.0|2022-02-01 01:00:00
liked it so much we stayed a second night so relaxing. peaceful and calm stayed in june 2021|4.0|2021-06-04 01:00:00
"speed up the ordering process
offer decaf coffee as well"|5.0|2022-02-02 23:18:00
aircon did not work, bathroom very cold .. great room and friendly staff stayed in december 2022|5.0|2022-12-12 00:00:00
location is amazing, you're a 5 minute walk from the national park, great for outdoor activities. room was very big, for some reason i got a room with a double bed and a single bed too. staff that had been there a while were great, very lovely, especially sharon in the bar, saoirse and ozzy in the restaurant. as with all hotels nowadays, they seemed to be understaffed a bit, my room wasn't ready after 2pm when i was supposed to check in, it took another hour and a half. the restaurant had to be pre-booked and i didn't get that communication unfortunately so it was booked 2 out of the 3 night i stayed.|4.0|2021-06-18 02:00:00
great location with amenities closer by. breakfast could have been better.|4.5|2021-11-15 01:00:00
the evening was very good up to the point where someone or something dropped water on our table from floors above the restaurant. when we brought it to the attention of the staff all they did was say they would inform the hotel. there did not seem to be any real concern for our group having the water dropped on them. it did put a big damper on an otherwise good meal.|3.0|2022-02-07 06:13:00
very much enjoyed the menu, a guest of mine unexpectedly did not enjoy the steak meal!!, however your staff were very obliging and did all to put the matter right, couldn't ask for better. many thanks jwd.|5.0|2021-11-21 13:06:00
the staff were excellent the hotel rooms are a little old fashioned.i would have liked more fresh fruit at breakfast.|3.5|2022-07-17 02:00:00
new year's eve dinner. food was amazing! beautiful decor, service was top notch!! can't wait to go back again in the summer!|5.0|2022-01-01 22:05:00
i've been here quite a few times now, maybe 5-7 times over the past couple of years, i'm local. i know going into here the service is not good, but i usually go for the ambiance and nice view. last night was pretty bad though. we were excited to go, celebrating an occasion. 20 minutes to be greeted at our table, that's being generous, not exaggerating. server had his mask below his mouth the whole time leaning into to talk to us, drinks were brought after our food dropped. there was a super loud, messy party next to us but that was a first, i usually like the ambiance. they forgot our fries but they comped that. still frustrating. receipt was dropped off as we're finishing our food and we were told thank u for coming before ever being asked if we'd like a 2nd drink, dessert.. it was disappointing. if i ever go back it's going to be on a dead day because every where else decent was booked..|2.0|2021-12-05 21:47:00
stayed in dec so it took some time for storage heat to kick in. place was a little cold however host did provide heater. spacious and clean stayed in december 2020|4.0|2021-01-22 06:00:00
great location and very helpful check in staff.special thank you to linda at reception for correcting my mistake in dates.excellent breakfast and great bar food.would definitely go back.|5.0|2021-12-21 01:00:00
friendly staff, quirky pub, lovely food, nice location.|4.0|2021-09-20 11:40:00
an amazing meal such attention to detail and wonderful combinations of flavours|5.0|2021-09-25 13:22:00
clean and comfortable no room service, we arrived late, couldn't eat or drink|3.5|2021-10-07 02:00:00
great service excellent food! highly recommended|5.0|2022-01-04 05:29:00
"the experience was okay. the pre-dinner drinks at the bar were superb and the staff friendly and helpful. we really, really wanted to love the food
the appetizers we had were very nice - pimento cheese arancini with a green tomato chutney. i had the quail. it was served with greens and potatoes.
while the flavor and preparation of the quail was wonderful, my potatoes and greens were not hot. and not just luke warm, but room temp. it just really took away from the point of having a warm comfort food experience to be served mains that just were not warm. and while the flavor was fine, i can only imagine how much better this review and my experience would've been if my food had been hot when served.
the gravy was really flavorful, there just wasn't enough of it and it was placed on the fried quail which made the breading lose much of it's fried crunch goodness.
if i had received warm potatoes with a hot helping of the amazing gravy on them, this would be a much different review.
we had a flourless chocolate cake dessert, that was also served super cold as if it had just come from the walk in freezer (we couldn't get our spoons through it) and while it was tasty, it was only okay. we ordered coffee and it was also served at room temperature. not ideal on a cold winter night. the server apologized and took off the coffee from our bill, but that was just the final ehh in a meal i really wanted to love but walked away from feeling, well, e .
i will give this new restaurant another chance to win me over. as i said, i really, really wanted to love it. it is right in my neighborhood and has a cozy setting in a hip new boutique hotel lobby setting."|4.0|2022-01-11 17:55:00
this place was horrible my whole family was sick after eating here. we will never eat here again.|1.0|2021-12-19 02:57:00
i loved the view. the food was good. the service, so-so. we asked to pay 3 way, we were told to use 2 cards only. then we asked if the check could be split 13 and 23. we were told no and waitress seamed annoyed. we are customers, some sympathy and more caring attitude would have been fine. i suggest the restaurant learns to split bills. we do everywhere else.|4.0|2021-05-14 21:15:00
if you are looking for a fine, smart casual dining experience, 8 eleven is the perfect spot! great food, service and atmosphere! we loved it!|5.0|2021-12-26 21:54:00
good menu with better than usual vegetarian options. comfortable seating, open fires. helpful and attentive staff. the food was a cut above other competing pub dining venues.|5.0|2021-12-13 07:30:00
staff friendly and helpful nothing no problem|5.0|2021-09-06 02:00:00
