key,docs,rating,timestamp,sentiment
0,"the staff are amazing , from dealing with them before our visit and during our stay both hotel staff and the lads on the golf course were fantastic.. they could not have been more professional or kind. the only complaint i have is that i was not aware that i was staying in a room not in the hotel itself. maybe it was my fault and didn't see that when booking . it was not in walking distance to hotel due to rain but the hotel staff were always on hand to collect us at any time .",4.5,2021-10-17 02:00:00,"[[0.04109300673007965, 0.851285457611084, 0.10762154310941696]]"
1,"food was good could have been hotter. server,kim, was awesome. she was friendly. knew the menu and seemed to enjoy what she was doing",4.0,2021-12-05 14:41:00,"[[0.01369805634021759, 0.6379477977752686, 0.3483541011810303]]"
2,"traveling and our hotel recommended it since i love italian food! it was so good, we went back a second time. the portions are huge though, i couldn't even get through half mine after sharing a caesar.",5.0,2021-10-14 18:13:00,"[[0.025499513372778893, 0.2841183543205261, 0.690382182598114]]"
3,very good experience. staff were attentive and food was great.,5.0,2022-02-07 21:47:00,"[[0.013266214169561863, 0.4275473654270172, 0.5591864585876465]]"
4,"immaculate and relaxing room, comfy bed and bathroom tip top. shuttle bus not available but only a minute walk away from the airport bus so all good.",4.5,2021-12-22 01:00:00,"[[0.02017226070165634, 0.85136878490448, 0.12845894694328308]]"
5,the ambience is good and i think its a good dinner option for those who are visiting the hotel from out of town. the service was okay as the waiter was a little pushy. the food was okay but not for the price. would i recommended this place? yes if you are staying at the hotel. the bar tender was really nice and it has an outlet at the tables for to keep your phone or laptop charged for business or personal purposes,3.0,2021-10-31 09:48:00,"[[0.049513738602399826, 0.48248380422592163, 0.46800240874290466]]"
6,loved the house and so near what ever your looking from a hoilday stayed in june 2021,5.0,2021-06-15 01:00:00,"[[0.0072791618295013905, 0.9061327576637268, 0.08658809959888458]]"
7,"we went for saturday brunch. good food, but not great. huge servings!",4.0,2021-11-01 17:57:00,"[[0.695550799369812, 0.2997942566871643, 0.004654973745346069]]"
8,was told bar in hotel was open wen booked .. was nt told it was accross in sister hotel bed was comfy.. brekky was lovely stayed in march 2021,4.0,2021-03-17 00:00:00,"[[0.005831146612763405, 0.8868995308876038, 0.10726936906576157]]"
9,"the noise levels from outside was very disturbing. people arguing, sirens, car alarms etc. the location was good. stayed in december 2020",2.0,2021-01-10 00:00:00,"[[0.46153753995895386, 0.5368506908416748, 0.0016117081977427006]]"
10,excellent menu. food quality was superb and portion sizes enormous,4.0,2021-08-26 14:51:00,"[[0.003980402369052172, 0.19621184468269348, 0.7998077869415283]]"
11,felt food menu limited for breakfast and pricey..atmosphere is good,2.0,2021-05-29 17:15:00,"[[0.05498999357223511, 0.9031582474708557, 0.041851695626974106]]"
12,our food and drinks we're both high-quality and the service was outstanding,4.0,2021-10-04 16:25:00,"[[0.009099685586988926, 0.3476922810077667, 0.6432080268859863]]"
